71,53
15,12
67,53
8,8
13,12
11,10
41,30
41,34
55,46
50,43
12,9
11,9
11,10
13,12
26,24
25,21
33,22
32,26
28,22
22,21
15,14
24,18
15,12
9,9
19,17
10,6
27,25
10,9
22,16
17,13
12,13
20,18
31,29
28,24
33,29
20,16
17,15
14,13
16,13
15,12
14,11
38,33
21,19
13,12
38,33
36,32
20,16
16,15
38,33
45,39
13,12
17,15
15,11
38,36
13,9
16,12
14,12
35,29
1,2
17,12
25,19
8,8
33,28
1,2
13,7
1,2
23,21
5,4
29,27
14,15
5,5
20,20
59,52
22,19
73,68
31,28
5,5
9,8
28,24
15,14
15,15
35,29
3,2
16,13
3,4
25,20
30,27
20,17
27,19
13,11
39,36
40,40
18,11
40,34
69,56
19,19
63,46
33,26
23,19
29,25
31,26
17,18
32,26
10,11
46,40
37,37
33,29
39,30
40,32
2,3
16,16
17,12
78,60
36,32
14,13
2,3
7,7
50,41
18,16
8,8
31,24
22,19
37,28
46,38
42,33
23,21
43,32
10,11
18,16
19,17
36,32
23,19
27,25
27,23
14,13
5,7
20,17
11,11
19,19
15,9
9,10
6,5
27,22
25,24
28,21
37,31
29,22
14,14
11,9
24,20
13,11
19,15
8,7
10,9
17,16
33,28
25,22
14,14
15,14
36,30
30,27
18,13
17,15
36,32
16,13
19,15
18,11
18,18
15,14
20,16
9,11
21,18
15,11
22,19
23,24
28,21
23,19
35,30
28,25
54,44
9,9
44,36
34,25
8,8
26,21
13,12
18,15
26,21
18,15
41,26
16,11
12,12
30,20
42,37
11,12
29,24
8,9
32,25
5,2
19,19
9,9
22,20
9,10
27,25
7,7
14,15
12,10
7,8
8,6
14,10
11,13
10,9
6,4
7,7
47,40
13,12
37,36
33,24
33,26
18,14
26,25
29,26
28,24
26,22
17,16
23,18
20,16
32,26
8,4
22,19
11,11
12,8
36,33
37,32
33,32
25,16
31,29
39,33
3,5
8,8
33,33
24,22
4,2
11,11
28,25
29,26
13,9
26,24
36,29
18,14
40,27
20,17
15,16
23,19
44,35
22,22
22,18
23,22
50,37
22,21
16,14
15,14
33,29
33,28
40,30
25,22
18,15
28,21
10,10
16,12
32,27
57,46
27,21
39,35
25,23
27,26
10,11
31,27
14,10
62,47
22,19
18,17
44,34
17,14
38,28
19,15
32,26
36,32
23,22
19,19
53,45
38,37
16,15
21,18
24,23
27,21
17,16
11,8
24,18
24,20
28,23
16,13
16,15
9,10
33,31
37,28
26,20
51,38
28,24
26,26
28,21
19,18
10,8
16,12
24,20
23,22
39,35
40,33
20,16
27,24
13,12
13,12
14,12
9,8
31,31
32,28
10,9
29,28
19,17
32,26
67,51
31,26
24,20
26,20
17,16
33,27
56,53
22,18
37,29
12,10
10,11
11,12
29,22
15,14
12,14
24,22
17,16
22,22
32,26
20,15
47,37
7,8
45,39
33,31
17,15
13,12
6,7
10,11
27,22
21,20
25,21
12,12
15,13
7,6
32,26
10,9
14,13
12,12
11,8
11,7
12,12
50,45
9,8
22,18
3,4
31,23
20,17
39,36
6,8
14,11
5,2
12,12
31,24
30,28
10,8
8,9
19,16
18,16
22,17
2,3
21,19
20,18
44,40
20,18
7,6
3,4
9,6
13,10
27,24
16,15
24,22
27,22
57,49
22,22
6,7
27,24
2,2
13,12
2,2
6,5
19,16
24,21
23,20
18,13
24,18
38,33
68,50
5,7
15,14
36,32
59,48
10,11
20,16
13,12
10,10
25,23
29,26
15,16
30,26
26,19
17,15
15,13
18,13
65,50
46,36
30,23
28,24
5,7
29,22
23,18
17,17
18,15
39,30
8,8
18,15
31,27
28,24
24,23
22,22
42,37
35,33
10,7
12,13
9,7
29,24
13,12
37,28
11,9
34,30
9,9
9,9
19,17
19,18
14,14
31,23
23,21
30,20
12,10
18,16
15,14
11,10
9,10
23,15
30,29
31,28
25,20
9,7
19,12
33,29
13,13
26,22
18,19
20,19
9,9
9,7
29,19
11,7
22,18
25,18
40,32
31,30
13,14
28,26
11,9
15,12
24,19
37,34
14,13
13,13
14,11
17,12
14,13
35,23
8,7
7,7
38,32
12,12
8,9
24,22
12,13
29,24
18,17
27,20
25,23
15,15
2,2
10,7
11,10
6,6
11,12
40,32
54,47
24,22
16,14
6,6
25,22
32,26
49,41
59,52
59,50
12,11
1,2
12,9
3,3
33,25
7,8
41,31
31,25
20,17
3,3
2,3
8,5
11,10
18,17
18,17
36,26
9,10
7,9
12,12
3,2
11,11
2,3
48,40
28,25
2,3
25,21
23,24
31,25
22,23
17,18
43,38
15,10
48,36
8,3
5,5
12,11
28,25
26,23
46,39
5,6
22,18
41,38
24,20
5,4
13,11
28,21
19,13
46,37
29,25
25,22
15,13
58,49
20,18
35,26
15,11
87,74
56,50
18,18
37,34
21,14
31,28
12,10
12,12
32,28
9,8
23,20
12,13
41,31
16,13
33,25
16,15
9,8
28,24
8,9
15,12
28,24
18,18
20,18
19,17
26,23
9,10
7,8
27,21
14,14
20,20
15,15
12,13
23,17
29,26
8,7
13,14
13,14
32,23
11,9
36,29
27,26
27,22
13,12
13,11
22,20
10,7
18,17
24,15
14,13
25,24
40,34
38,32
14,15
22,21
23,20
14,12
11,9
42,36
25,21
6,7
37,31
17,16
15,12
33,24
9,10
16,15
27,25
21,17
31,30
3,3
